lat1,long1,lat2,long2,dis,time
30.68022,76.73758,30.68022,76.73758,0,0
30.68022,76.73758,30.68022,76.74758,2679,396
30.68022,76.73758,30.68022,76.75758,5267,727
30.68022,76.73758,30.69022,76.72758,2904,361
30.68022,76.73758,30.69022,76.73758,2778,301
30.68022,76.73758,30.69022,76.74758,3646,470
30.68022,76.73758,30.69022,76.75758,3840,452
30.68022,76.73758,30.69022,76.76758,5119,540
30.68022,76.73758,30.70022,76.71758,4512,605
30.68022,76.73758,30.70022,76.72758,4368,557
30.68022,76.73758,30.70022,76.73758,4343,508
30.68022,76.73758,30.70022,76.74758,4737,562
30.68022,76.73758,30.70022,76.75758,5049,577
30.68022,76.73758,30.70022,76.76758,5180,605
30.68022,76.73758,30.70022,76.77758,6245,665
30.68022,76.73758,30.70022,76.78758,7534,849
30.68022,76.73758,30.71022,76.70758,6840,838
30.68022,76.73758,30.71022,76.71758,5425,706
30.68022,76.73758,30.71022,76.72758,6175,769
30.68022,76.73758,30.71022,76.73758,6155,690
30.68022,76.73758,30.71022,76.74758,6064,661
30.68022,76.73758,30.71022,76.75758,6588,806
30.68022,76.73758,30.71022,76.76758,7109,825
30.68022,76.73758,30.71022,76.77758,7161,813
30.68022,76.73758,30.71022,76.78758,7517,926
30.68022,76.73758,30.71022,76.79758,8686,1114
30.68022,76.73758,30.72022,76.70758,7148,1023
30.68022,76.73758,30.72022,76.71758,7638,938
30.68022,76.73758,30.72022,76.72758,7334,972
30.68022,76.73758,30.72022,76.73758,7569,824
30.68022,76.73758,30.72022,76.74758,7700,880
30.68022,76.73758,30.72022,76.75758,9646,1094
30.68022,76.73758,30.72022,76.76758,8707,1109
30.68022,76.73758,30.72022,76.77758,9279,1020
30.68022,76.73758,30.72022,76.78758,9519,1035
30.68022,76.73758,30.72022,76.79758,9475,1086
30.68022,76.73758,30.72022,76.80758,9819,1150
30.68022,76.73758,30.72022,76.81758,11159,1378
30.68022,76.73758,30.73022,76.69758,8045,1027
30.68022,76.73758,30.73022,76.70758,8458,1123
30.68022,76.73758,30.73022,76.71758,8555,1071
30.68022,76.73758,30.73022,76.72758,9228,966
30.68022,76.73758,30.73022,76.73758,9593,1058
30.68022,76.73758,30.73022,76.74758,9328,1085
30.68022,76.73758,30.73022,76.75758,9776,1090
30.68022,76.73758,30.73022,76.76758,11077,1326
30.68022,76.73758,30.73022,76.77758,10155,1155
30.68022,76.73758,30.73022,76.78758,11195,1311
30.68022,76.73758,30.73022,76.79758,10553,1214
30.68022,76.73758,30.73022,76.80758,11295,1373
30.68022,76.73758,30.73022,76.81758,11557,1356
30.68022,76.73758,30.73022,76.82758,13303,1548
30.68022,76.73758,30.73022,76.83758,14457,1632
30.68022,76.73758,30.74022,76.68758,9922,1306
30.68022,76.73758,30.74022,76.69758,9539,1343
30.68022,76.73758,30.74022,76.70758,9438,1249
30.68022,76.73758,30.74022,76.71758,11064,1093
30.68022,76.73758,30.74022,76.72758,10896,1167
30.68022,76.73758,30.74022,76.73758,10480,1147
30.68022,76.73758,30.74022,76.74758,11133,1252
30.68022,76.73758,30.74022,76.75758,12380,1329
30.68022,76.73758,30.74022,76.76758,11229,1294
30.68022,76.73758,30.74022,76.77758,11876,1339
30.68022,76.73758,30.74022,76.78758,11913,1446
30.68022,76.73758,30.74022,76.79758,12155,1420
30.68022,76.73758,30.74022,76.80758,12668,1467
30.68022,76.73758,30.74022,76.81758,11790,1402
30.68022,76.73758,30.74022,76.82758,12831,1538
30.68022,76.73758,30.74022,76.83758,15362,1877
30.68022,76.73758,30.75022,76.68758,12149,1789
30.68022,76.73758,30.75022,76.69758,11752,1565
30.68022,76.73758,30.75022,76.70758,13619,1518
30.68022,76.73758,30.75022,76.71758,12455,1265
30.68022,76.73758,30.75022,76.72758,12118,1238
30.68022,76.73758,30.75022,76.73758,12558,1320
30.68022,76.73758,30.75022,76.74758,12290,1278
30.68022,76.73758,30.75022,76.75758,12520,1346
30.68022,76.73758,30.75022,76.76758,13686,1462
30.68022,76.73758,30.75022,76.77758,13043,1504
30.68022,76.73758,30.75022,76.78758,13773,1539
30.68022,76.73758,30.75022,76.79758,14131,1560
30.68022,76.73758,30.75022,76.80758,13815,1528
30.68022,76.73758,30.75022,76.81758,15040,1699
30.68022,76.73758,30.75022,76.82758,16627,1966
30.68022,76.73758,30.75022,76.83758,15912,1951
30.68022,76.73758,30.76022,76.68758,13174,1818
30.68022,76.73758,30.76022,76.69758,15568,1849
30.68022,76.73758,30.76022,76.70758,14381,1638
30.68022,76.73758,30.76022,76.71758,13964,1526
30.68022,76.73758,30.76022,76.72758,13817,1499
30.68022,76.73758,30.76022,76.73758,13458,1479
30.68022,76.73758,30.76022,76.74758,14152,1585
30.68022,76.73758,30.76022,76.75758,14093,1500
30.68022,76.73758,30.76022,76.76758,14292,1566
30.68022,76.73758,30.76022,76.77758,15770,1852
30.68022,76.73758,30.76022,76.78758,15486,1674
30.68022,76.73758,30.76022,76.79758,15047,1619
30.68022,76.73758,30.76022,76.80758,15405,1695
30.68022,76.73758,30.76022,76.81758,15595,1821
30.68022,76.73758,30.76022,76.82758,16660,1934
30.68022,76.73758,30.76022,76.83758,16570,1965
30.68022,76.73758,30.77022,76.68758,15596,1809
30.68022,76.73758,30.77022,76.69758,15982,1852
30.68022,76.73758,30.77022,76.70758,15415,1833
30.68022,76.73758,30.77022,76.71758,15737,1805
30.68022,76.73758,30.77022,76.72758,14759,1642
30.68022,76.73758,30.77022,76.73758,15986,1772
30.68022,76.73758,30.77022,76.74758,15093,1649
30.68022,76.73758,30.77022,76.75758,15452,1751
30.68022,76.73758,30.77022,76.76758,15823,1677
30.68022,76.73758,30.77022,76.77758,16835,1802
30.68022,76.73758,30.77022,76.78758,16740,1823
30.68022,76.73758,30.77022,76.79758,17925,1893
30.68022,76.73758,30.77022,76.80758,17798,1891
30.68022,76.73758,30.77022,76.81758,18737,2010
30.68022,76.73758,30.77022,76.82758,17764,2116
30.68022,76.73758,30.77022,76.83758,17764,2116
30.68022,76.73758,30.78022,76.68758,16714,1943
30.68022,76.73758,30.78022,76.69758,19382,2205
30.68022,76.73758,30.78022,76.70758,17907,2038
30.68022,76.73758,30.78022,76.71758,16542,1773
30.68022,76.73758,30.78022,76.72758,16579,1876
30.68022,76.73758,30.78022,76.73758,17746,2097
30.68022,76.73758,30.78022,76.74758,16330,1784
30.68022,76.73758,30.78022,76.75758,16651,1829
30.68022,76.73758,30.78022,76.76758,17874,2019
30.68022,76.73758,30.78022,76.77758,17513,2098
30.68022,76.73758,30.78022,76.78758,18684,2129
30.68022,76.73758,30.78022,76.79758,18392,2236
30.68022,76.73758,30.78022,76.80758,19256,2244
30.68022,76.73758,30.78022,76.81758,20935,2639
30.68022,76.73758,30.78022,76.82758,21013,2659
30.68022,76.73758,30.78022,76.83758,17764,2116
30.68022,76.73758,30.79022,76.68758,20299,2128
30.68022,76.73758,30.79022,76.69758,20556,2184
30.68022,76.73758,30.79022,76.70758,19029,1995
30.68022,76.73758,30.79022,76.71758,17496,1867
30.68022,76.73758,30.79022,76.72758,18143,2073
30.68022,76.73758,30.79022,76.73758,18826,2028
30.68022,76.73758,30.79022,76.74758,17903,1886
30.68022,76.73758,30.79022,76.75758,19282,2088
30.68022,76.73758,30.79022,76.76758,18888,2098
30.68022,76.73758,30.79022,76.77758,19587,2093
30.68022,76.73758,30.79022,76.78758,22095,2375
30.68022,76.73758,30.79022,76.79758,20301,2489
30.68022,76.73758,30.79022,76.80758,20847,2573
30.68022,76.73758,30.79022,76.81758,21589,2736
30.68022,76.73758,30.79022,76.82758,21331,2675
30.68022,76.73758,30.79022,76.83758,23779,2934
30.68022,76.74758,30.68022,76.73758,1288,224
30.68022,76.74758,30.68022,76.74758,0,0
30.68022,76.74758,30.68022,76.75758,2780,470
30.68022,76.74758,30.69022,76.72758,2855,432
30.68022,76.74758,30.69022,76.73758,1563,312
30.68022,76.74758,30.69022,76.74758,2052,348
30.68022,76.74758,30.69022,76.75758,1880,312
